customer_id,age,income,region,risk_score,previous_claims,market_volatility,competitor_price,base_price,price_multiplier,price,price_sensitivity,conversion_probability,conversion,cost,revenue,profit,retention_probability,clv,risk_category
0,52.450712295168486,29381.48987585667,Urban,57.96182897964359,0,0.07394644992075322,458.8818161725782,1065.1426201193592,1.1,1171.6568821312953,0.017401436252407813,1.0,1,514.9867318824162,1171.6568821312953,656.6701502488792,0.95,1873.151603584928,Medium
1,42.92603548243223,28949.058063584747,Urban,15.20015685852265,1,0.12738043443139666,813.1828446379832,766.1855565132685,1.1,842.8041121645954,0.01836753965587446,1.0,1,473.10648229939136,842.8041121645954,369.697629865204,0.95,1054.5624891904945,Low
2,54.715328071510385,20000.0,Urban,16.423653665801353,2,0.09166879686150628,1289.148674240626,994.849013804033,1.1,1094.3339151844364,0.028256981488135803,1.0,1,546.6189163927162,1094.3339151844364,547.7149987917202,0.95,1562.3570340533818,Low
3,67.84544784612038,30790.297532311903,Urban,49.093389240786486,0,0.18133991553877601,607.7617856334174,1122.7514497422542,0.8,898.2011597938034,0.016593019943680294,0.0,0,495.67746048180646,0.0,-0.0,0.95,-0.0,Medium
4,41.48769937914996,52387.04154210097,Suburban,31.86779073551067,0,0.20970282676879096,735.5746115220604,680.6062115458076,0.9,612.5455903912268,-0.0038529168722107924,1.0,1,480.9408975778643,612.5455903912268,131.60469281336253,0.95,375.40238625011665,Low
5,41.487945645762295,20000.0,Urban,33.94228131277904,0,0.08469472017179157,859.5864980082837,841.3696411482131,1.2,1009.6435693778557,0.027634596370594733,1.0,1,487.59194260225024,1009.6435693778557,522.0516267756054,0.95,1489.1522653774146,Medium
6,68.68819223261087,61343.30557021588,Urban,17.415239617965458,1,0.057650481804012804,692.2163665858625,1000.7298490993214,0.9,900.6568641893894,-0.013099884351795058,1.0,1,523.8977188295462,900.6568641893894,376.75914535984316,0.95,1074.7054621389527,Low
7,56.51152093729363,46345.86759728372,Suburban,33.70626079074828,2,0.01183799916004459,931.0713881410381,1071.2716373899525,0.8,857.017309911962,0.0017195958068406687,5.239778035286603e-161,0,584.7651850803184,0.0,-0.0,0.95,-0.0,Medium
8,37.95788421097572,25156.795529598556,Urban,19.946363604471564,0,0.19139023700070362,942.178519513426,735.4732415415849,0.8,588.3785932332679,0.023493411677679557,0.0,0,449.54304644152086,0.0,-0.0,0.95,-0.0,Low
9,53.13840065378947,33834.46313297118,Suburban,33.1790569565679,0,0.06380331842929113,1108.3048080726528,833.1727727615864,1.2,999.8073273139037,0.013872911064904445,1.0,1,502.8267436773905,999.8073273139037,496.9805836365132,0.95,1417.637114823154,Medium
10,38.04873460781307,80753.84885762355,Suburban,40.216539455738484,0,0.07298576964916506,909.993889324339,769.5630296594575,0.9,692.6067266935117,-0.032053746117079854,1.0,1,503.14136240007815,692.6067266935117,189.4653642934336,0.95,540.4499516470194,Medium
11,38.01405369644615,52405.87103853407,Urban,23.65228872789524,0,0.06501758084426183,733.9403280797004,879.3845060955942,1.1,967.3229567051537,-0.004092603250010042,3.041093263539532e-157,0,449.1297849067482,0.0,-0.0,0.95,-0.0,Low
12,48.629434073490515,36475.34483839883,Suburban,53.31834003559931,0,0.0836667347338177,973.6480019721714,931.5656696486755,1.1,1024.7222366135431,0.01175198469333765,1.0,1,500.65686163286585,1024.7222366135431,524.0653749806772,0.95,1494.8964821323818,Medium
13,18.0,32246.292085456127,Suburban,36.840257794538125,1,0.0761527866020051,791.9385072336079,827.6687842627309,1.1,910.4356626890041,0.016124492637610035,1.0,1,548.0108758540248,910.4356626890041,362.4247868349793,0.95,1033.8167044467784,Medium
14,19.126232512304508,37733.536306864546,Urban,24.799643453050887,0,0.1413397832599938,724.5935872066706,569.7484110150085,0.9,512.7735699135077,0.011406276254345371,8.640428115343224e-283,0,441.9042709074743,0.0,-0.0,0.95,-0.0,Low
15,36.56568706138541,28116.6785241098,Urban,66.70192944789103,0,0.01,717.2613129046898,1144.7481439039047,1.0,1144.7481439039047,0.018776198916932687,0.1148124970261313,0,541.7940105192523,0.0,-0.0,0.95,-0.0,High
